Fi_10D,Best,Worst,Median,Mean,Std_Dev,Success_Rate
1,7.343601282627787e-10,9.97630422716611e-09,6.121240403444972e-09,6.026780283718836e-09,3.036348607709071e-09,1
2,4.742308772543936,60.077780207142155,16.33296170138192,20.59446013159406,14.789789744332143,0
3,792906.8640373789,6022824.4205126325,2599561.270378683,2822379.616426672,1441858.8555844256,0
4,952.8458346680113,12749.242758815659,6478.698891746584,6764.656996963298,3031.641364983191,0
5,72.15315705856119,3928.587998075993,1941.4229070445053,1869.6286155034227,1122.6128818414766,0
