FES_Multiplier,Error
0,238047974.24891827
0.001,238047974.24891827
0.01,42163668.44482407
0.1,20309067.291886084
0.2,18576435.454493873
0.3,17104326.259475328
0.4,16037398.206044279
0.5,15282687.717770208
0.6,14227185.835472982
0.7,13898792.91263218
0.8,13346754.00854046
0.9,13176210.137235092
1,12523968.29578795
