Fi_10D,Best,Worst,Median,Mean,Std_Dev,Success_Rate
1,4.568960321194027e-09,9.997734196076635e-09,8.144638741214294e-09,7.936075689940481e-09,1.5817744918490125e-09,1
2,5.203332875680644e-09,1.152437221207947e-07,9.519226296106353e-09,1.572492692503147e-08,2.1834076559030522e-08,0.76
3,15155.860799802986,391046.69405104086,101802.90392827401,134683.03022137834,98302.15121871469,0
4,5.833953764522448e-09,110.13689424676181,3.6746185855918156e-05,5.39320267621661,22.200592188120428,0.12
5,0.00016891935956664383,544.4209513971527,0.0004377944496809505,26.460015227609038,108.56115891594598,0
