FES_Multiplier,Error
0,91025668.54095489
0.001,91025668.54095489
0.01,31888002.05536756
0.1,2627476.8628775985
0.2,1672823.1174185611
0.3,1303278.2203088359
0.4,1020597.480110488
0.5,815172.6199255214
0.6,698477.013565168
0.7,610446.3072876363
0.8,531580.6964448176
0.9,456425.463812129
1,391046.69405104086
