Fi_10D,Best,Worst,Median,Mean,Std_Dev,Success_Rate
1,5.11226971866563e-09,9.914288057188969e-09,8.633435299998382e-09,8.205406629713253e-09,1.4961490479108536e-09,1
2,6.7288965510670096e-09,9.92065452010138e-09,8.669360340718413e-09,8.633489869680488e-09,9.319216497486321e-10,1
3,119958.32833552448,972501.0689280413,418191.6857806247,412961.23058963567,201477.6800392115,0
4,4.144851573073538e-09,9.918721843860112e-09,8.659583272674354e-09,8.0462245932722e-09,1.7738959343680099e-09,1
5,6.020854925736785e-09,9.986251825466752e-09,9.415089152753353e-09,8.781062206253409e-09,1.19926180597543e-09,1
