FES_Multiplier,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Average
0,5810157291.71005,2240307592.1889234,13463534880.73194,4986363370.920847,5174309173.33354,5560445745.968496,9257492020.806023,6212091925.892561,10841646835.052841,4139962540.901031,9220353473.048384,4645698407.336742,5186444623.032968,4570361778.732966,8080519602.918162,8719640376.155153,10130334632.078218,11251093518.016357,8398268818.673562,4873061708.323,3807878186.077457,6424683366.566564,7246316013.262378,8867662536.757183,9275580919.631636,7135368373.524679
0.001,4269873859.9924,2240307592.1889234,2799479563.4162245,4039479987.432688,3835851986.8617396,4263535194.4511375,2444522593.597107,1801955624.7622046,3517452662.8207574,4083938835.9196353,2869558943.6821914,3369957119.6894903,2455317496.296432,3073605774.9008536,4189444610.3685355,3069019857.4594216,4836666876.940406,1992024009.8155172,2897029835.714172,3324120516.652167,3807878186.077457,3664944394.878276,2520139090.025193,4085036718.3781233,3675426677.8465166,3325062720.406703
0.01,1048920100.4331855,1121831102.2684855,2299617203.302043,1013009559.1316262,714068415.44135,1370763394.906022,984219618.5136315,1750934724.165277,792487029.5646785,1093662337.8131037,531701960.24689806,1351416826.8050418,1705364637.0476854,1150493746.4262834,1033867587.4135692,1303793665.21656,1670069017.273631,1611387985.0288517,1388196045.5359118,1365751161.1982934,1337562253.0533307,1206334677.4482975,926988774.3955952,1117532136.3957238,1565351410.9767509,1258213014.8000731
0.1,707037780.9234915,39411608.02232136,72746142.08437322,355238842.44417024,449832779.2220478,36823424.97615106,935019202.9637843,863548609.8843668,16499412.121102996,93184749.77976137,18338084.849885784,332465226.78003085,1040431565.3934082,35819817.46376552,110352912.25691436,69221580.18588528,758582376.5248156,43156020.75611706,29260796.031725336,217251742.2474708,54184021.40908353,31637272.826694537,247562693.96289712,35078560.22150314,61117662.11034335,266152115.41768444
0.2,707037780.9234915,10717802.857051298,18000764.770054903,84005516.74536654,25955897.56309997,12966027.479452925,450068305.54907835,863548609.8843668,6355504.680429011,50477197.977816306,7934088.00884574,332465226.78003085,1019808121.8949051,15849966.368757328,24632634.559231594,11067683.157043174,16765894.434579985,14828467.607072761,5621111.536791519,16565476.443469927,15705835.77129488,14652341.678128703,7615667.841595022,7797800.355083531,18264455.47422616,150348327.21365055
0.3,707037780.9234915,5041511.417724563,11109529.94570344,4524326.397371656,6843201.373002883,9298200.561625516,450068305.54907835,863548609.8843668,1991659.214165107,8216973.449442854,4287613.954747441,332465226.78003085,629262665.0221465,3395003.4101583175,4076912.8351795804,3347976.362127151,4188273.4027972557,7769207.554787771,1969757.4763112853,9216344.440461526,7714613.31517009,7068842.949117378,6153717.520332926,3556312.5840966604,11008649.444498241,124126448.63071743
0.4,206966742.7090045,3418809.296187625,6008220.818016568,2236695.40027836,5040265.277662609,4504785.010968645,450068305.54907835,863548609.8843668,1268696.487160646,5577206.626857937,2525398.5963202906,332465226.78003085,629262665.0221465,2149296.842905011,3131768.9406746905,2342885.1756679323,3846410.519329261,4881358.790036659,891840.2776462521,5865783.977370326,5323519.299195333,4328803.245277057,5416594.796457389,3076001.8541738703,5425445.863821736,102382853.48162541
0.5,4715592.519260083,2832883.1678500324,2505803.2292065946,1853590.5189026026,4896398.233108049,3071141.9479402276,450068305.54907835,655201630.2510914,911475.9011361748,3044825.983974764,1636390.623383504,198614984.22548687,629262665.0221465,1838054.901511135,2901733.01784519,2198933.4295979002,3531093.354732136,3718719.0329568046,779913.9838266827,4874958.232174702,3506730.024616732,3125607.0199870965,3970513.5746117923,2429822.755599196,2654597.3019351326,79765854.55207838
0.6,3092149.136917034,2567866.24740722,1543950.4265614953,1399488.6028579946,4373645.351844466,2540818.549561862,450068305.54907835,655201630.2510914,695130.4744322599,2188612.957375478,1465130.350181352,31040301.66841318,629262665.0221465,1647655.9703332293,2732238.4819226763,2060060.5166760073,2609512.699616375,3080040.4966878407,708217.7432689273,3538792.849188831,2308735.669962181,2249399.692424204,2858945.269310561,2272979.3666508505,1781971.8917141876,72531529.80942498
0.7,2449486.953140961,2368737.1861159257,1283819.7630718783,1016290.887852786,4109335.9858794804,2130803.142514614,450068305.54907835,655201630.2510914,307453.5175349772,1348005.6215960577,1330304.4138225855,9502273.658893779,629262665.0221465,1582632.272061791,2456815.6985610803,1809959.141834157,1929819.629523848,2206378.3414806016,684437.5482606663,3071090.3737894264,1845361.7608607356,1586564.540851953,2380710.7122424017,2224151.350310693,1565336.179212976,71348894.78006919
